Country,Population,Area,GDP,PPP,GDP_per_capita,PPP_per_capita,G7,G20,OECD,HDI_2018,Polity_Score,Polity_Type,FH_PR,FH_CL,FH_Total,FH_Status,Continent
Liechtenstein,38128,160,6552.86,,171864.7713,,0,0,0,0.917,,,33,57,90,F,Europe
Lithuania,2722289,62674,54219.32,100384.5,19916.81265,36875.03421,0,0,1,0.869,10,Full Democracy,38,53,91,F,Europe
Luxembourg,625978,2590,71104.92,71000.34,113590.1262,113423.0596,0,0,1,0.909,10,Full Democracy,38,60,98,F,Europe
Madagascar,27691018,581795,14083.91,43395.91,508.609326,1567.147513,0,0,0,0.521,6,Democracy,26,35,61,PF,Africa
Malawi,19129952,94280,7666.7,19437.62,400.7694321,1016.083051,0,0,0,0.485,6,Democracy,26,36,62,PF,Africa
Malaysia,32365999,328550,364701.52,889349,11268.04459,27477.87887,0,0,0,0.804,7,Democracy,21,31,52,PF,Asia
Maldives,540544,300,5729.25,9777.27,10599.04467,18087.83374,0,0,0,0.719,,,18,22,40,PF,Asia
Mali,20250833,1220190,17510.14,44723.72,864.662703,2208.487918,0,0,0,0.427,5,Open Anocracy,17,24,41,PF,Africa
Malta,441543,320,14786.16,21100.07,33487.47461,47787.12379,0,0,0,0.885,,,35,55,90,F,Europe
Mauritania,4649658,1030700,7593.75,16745.26,1633.184634,3601.39606,0,0,0,0.527,-2,Closed Anocracy,13,21,34,PF,Africa
Mauritius,1271768,2030,14180.44,28788.45,11150.17833,22636.55793,0,0,0,0.796,10,Full Democracy,37,52,89,F,Africa
Mexico,128932753,1943950,1258286.72,2573847.6,9759.248063,19962.71343,0,1,1,0.767,8,Democracy,27,35,62,PF,America
Moldova,4033963,32850,11955.44,34001.22,2963.695998,8428.738687,0,0,0,0.711,9,Democracy,26,34,60,PF,Europe
Monaco,39242,1,7188.24,,183177.2081,,0,0,0,,,,26,57,83,F,Europe
Mongolia,3278290,1553560,13852.85,38687.54,4225.632876,11801.13413,0,0,0,0.735,10,Full Democracy,36,48,84,F,Asia
Montenegro,628066,13450,5494.74,13254.36,8748.666541,21103.45091,0,0,0,0.816,9,Democracy,22,40,62,PF,Europe
Morocco,36910560,446300,118725.28,278822.26,3216.566749,7553.997013,0,0,0,0.676,-4,Closed Anocracy,13,24,37,PF,Africa
Mozambique,31255435,786380,14934.16,38962.86,477.8100193,1246.594712,0,0,0,0.446,5,Open Anocracy,14,31,45,PF,Africa
Namibia,2540905,823290,12366.53,26207.75,4866.978498,10314.33682,0,0,0,0.645,6,Democracy,31,46,77,F,Africa
Nepal,29136808,143350,30641.38,93550.06,1051.638189,3210.717523,0,0,0,0.579,7,Democracy,25,31,56,PF,Asia
Netherlands,17474830,34706,915254.4,1000918.84,52375.58248,57277.74405,0,0,1,0.934,10,Full Democracy,40,59,99,F,Europe
New Zealand,4842780,263820,206928.77,204260.27,42729.33522,42178.30874,0,0,1,0.921,10,Full Democracy,40,57,97,F,Oceania
Nicaragua,6624554,120340,12520.92,37717.22,1890.07743,5693.548577,0,0,0,0.651,6,Democracy,10,21,31,NF,America
Niger,24206644,1266700,12928.15,19946.82,534.0744467,824.0225287,0,0,0,0.377,5,Open Anocracy,20,28,48,PF,Africa
Nigeria,206139589,910770,448120.43,1034493.13,2173.868844,5018.410753,0,0,0,0.534,7,Democracy,22,25,47,PF,Africa
North Macedonia,2083374,25220,12694.82,34628.88,6093.394657,16621.53795,0,0,0,0.759,,,24,39,63,PF,Europe
Norway,5421241,365268,403336.36,359298.96,74399.26762,66276.146,0,0,1,0.954,10,Full Democracy,40,60,100,F,Europe
Oman,5106626,309500,76983.09,141454.11,15075.13767,27700.11158,0,0,0,0.834,-8,Autocracy,6,17,23,NF,Asia
Pakistan,220892340,770880,278221.91,1030292.07,1259.536252,4664.227243,0,0,0,0.56,7,Democracy,16,22,38,PF,Asia
Panama,4314767,74340,66800.8,132966.63,15481.90204,30816.64201,0,0,0,0.795,9,Democracy,36,48,84,F,America
Papua New Guinea,8947024,452860,24969.61,37319.09,2790.828548,4171.117681,0,0,0,0.543,5,Open Anocracy,23,39,62,PF,Oceania
Paraguay,7132538,397300,38145.29,91850.11,5348.066845,12877.61944,0,0,0,0.724,9,Democracy,28,37,65,PF,America
