"ID","Name","Pref","Zipcode","Latitude","Longitude","Line","Station","Walk","Bus","Car","Budget","ScoreN","Score"
"7470967","天","京都府",6078347,34.981181,135.809137,"京都市営東西線","東野（京都府）駅",8,NA,NA,NA,1,3
"6286007","らーめん 彦さく","京都府",6028448,35.029602,135.748063,"京都市営烏丸線","今出川駅",7,NA,NA,NA,1,4.5
"5506650","金の豚","京都府",6018435,34.972556,135.753037,"近鉄京都線","十条（近鉄線）駅",2,NA,NA,NA,2,3.5
"6272883","てうれ","京都府",6068243,35.036883,135.787348,"叡山電鉄本線","茶山（京都府）駅",5,NA,NA,NA,0,NA
"5506543","らんたん","京都府",6068391,35.019166,135.778947,"京阪本線（鴨東線）","神宮丸太町駅",9,NA,NA,NA,0,NA
"6270520","越後秘蔵麺 無尽蔵 京都二条家","京都府",6048415,NA,NA,"","",NA,NA,NA,NA,3,3.33333333333333
"7756256","天骨庵 慶心","京都府",6038408,35.056832,135.748979,"京都市営烏丸線","北大路駅",21,NA,NA,NA,0,NA
"5808913","たかばし 京都南インター店","京都府",6018143,34.95623,135.745302,"京都市営烏丸線","竹田（京都府）駅",16,NA,NA,NA,1,4
"5822451","一楽家","京都府",6100356,34.833105,135.724408,"ＪＲ片町線〔学研都市線〕","松井山手駅",6,NA,NA,NA,0,NA
"7275547","ゑびす屋","京都府",6060864,35.04441,135.775424,"京都市営烏丸線","松ヶ崎（京都府）駅",11,NA,NA,NA,0,NA
"6032392","希望軒 伏見新堀川店","京都府",6128373,NA,NA,"","",NA,NA,NA,NA,1,3
"5654679","来来亭 十条竹田店","京都府",6018033,34.972959,135.761397,"京都市営烏丸線","十条（京都市営）駅",2,NA,NA,NA,0,NA
"6273334","博多っ子","京都府",6060816,35.041365,135.770708,"京都市営烏丸線","北大路駅",2,NA,NA,NA,0,NA
"5506667","新福菜館 天神川店","京都府",6150901,35.003525,135.714368,"京福嵐山本線","嵐電天神川駅",13,NA,NA,NA,5,4.2
"5506657","ラーメン藤 本店","京都府",6018033,34.971028,135.760511,"京都市営烏丸線","十条（京都市営）駅",3,NA,NA,NA,2,3.5
"7664963","麺屋 聖 kiyo","京都府",6068184,35.043282,135.783698,"叡山電鉄本線","一乗寺駅",5,NA,NA,NA,0,NA
"7013401","豚骨野郎 本店","京都府",6110042,34.892716,135.781032,"近鉄京都線","小倉（京都府）駅",1,NA,NA,NA,0,NA
"7494000","京田辺カフェテリア","京都府",6100321,34.802981,135.771152,"JR片町線〔学研都市線〕","同志社前駅",9,NA,NA,NA,0,NA
"6266346","第一旭 桂店","京都府",6158024,34.978841,135.711721,"阪急京都本線","桂駅",12,NA,NA,NA,0,NA
"5506754","夜鳴きや","京都府",6078131,34.979451,135.824314,"京都市営東西線","東野（京都府）駅",10,NA,NA,NA,0,NA
"6926642","辛獅子 本店","京都府",6048423,35.00866,135.736745,"京福嵐山本線","西大路三条駅",6,NA,NA,NA,0,NA
"5553326","ラーメン荘 夢を語れ","京都府",6068112,35.046132,135.785905,"叡山電鉄本線","一乗寺駅",5,NA,NA,NA,0,NA
"5506502","天下一品 白梅町店","京都府",6028384,35.027399,135.733103,"京福北野線","北野白梅町駅",2,NA,NA,NA,2,3
"7671911","キラメキノ太陽ーふくちやまー","京都府",6200944,NA,NA,"","",NA,NA,NA,NA,0,NA
"0133485","博多っ子","京都府",6078067,34.986692,135.828641,"京阪京津線","四宮駅",13,NA,NA,NA,0,NA
"7645676","町田商店 京都東インター店","京都府",6078112,34.984815,135.827152,"京阪京津線","四宮駅",14,NA,NA,NA,0,NA
