"S_ID","S_Name","L_ID","Pref","Zipcode","Address","Longitude","Latitude","Open","Close","S_Status","C_ID","L_Name","L_Name2","L_Color","L_Color2","L_Status","R_ID","C_Name","C_Name2","C_Name3","C_URL","C_Type","C_Status"
9932015,"鎌倉",99320,14,"248-0006","鎌倉市小町１丁目",139.550121,35.318491,NA,NA,0,133,"江ノ島電鉄線","江ノ島電鉄線",NA,NA,0,99,"江ノ島電鉄","江ノ島電鉄株式会社","江ノ電","http://www.enoden.co.jp/",0,0
1110201,"長万部",11102,1,"049-3521","山越郡長万部町字長万部",140.37507,42.512477,NA,NA,0,1,"JR函館本線(長万部～小樽)","JR函館本線(長万部～小樽)",NA,NA,0,11,"JR北海道","北海道旅客鉄道株式会社","JR北海道","http://www.jrhokkaido.co.jp/",1,0
1110401,"長万部",11104,1,"049-3521","山越郡長万部町字長万部",140.37507,42.512477,NA,NA,0,1,"JR室蘭本線(長万部・室蘭～苫小牧)","JR室蘭本線(長万部・室蘭～苫小牧)",NA,NA,0,11,"JR北海道","北海道旅客鉄道株式会社","JR北海道","http://www.jrhokkaido.co.jp/",1,0
9961925,"長原",99619,27,"547-0013","大阪市平野区長吉長原東２-２",135.573853,34.602432,NA,NA,0,249,"大阪メトロ谷町線","高速電気軌道第2号線","522886","京紫",0,99,"Osaka Metro","大阪市高速電気軌道株式会社","大阪メトロ","http://www.osakametro.co.jp",2,0
9962406,"長堀橋",99624,27,"542-0082","大阪市中央区島之内１-１８-９",135.506357,34.674645,NA,NA,0,249,"大阪メトロ長堀鶴見緑地線","高速電気軌道第7号線","a9cc51","萌黄",0,99,"Osaka Metro","大阪市高速電気軌道株式会社","大阪メトロ","http://www.osakametro.co.jp",2,0
9980318,"長尾",99803,37,"769-2302","さぬき市長尾西５５９-２",134.169184,34.266675,NA,NA,0,225,"琴電長尾線","琴電長尾線",NA,NA,0,99,"高松琴平電気鉄道","高松琴平電気鉄道株式会社","琴電","http://www.kotoden.co.jp/",0,0
9961816,"長居",99618,27,"558-0004","大阪市住吉区長居東４",135.513761,34.609873,NA,NA,0,249,"大阪メトロ御堂筋線","高速電気軌道第1号線","e5171f","臙脂",0,99,"Osaka Metro","大阪市高速電気軌道株式会社","大阪メトロ","http://www.osakametro.co.jp",2,0
1140423,"長岡",11404,15,"940-0061","長岡市城内町２丁目",138.853927,37.447787,NA,NA,0,2,"JR信越本線(直江津～新潟)","JR信越本線(直江津～新潟)",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
9981709,"長崎",99817,39,"780-0000","高知市大津字長崎",133.620722,33.575119,NA,NA,0,228,"ごめん線","土佐電鉄ごめん線",NA,NA,0,99,"土佐電気鉄道","土佐電気鉄道株式会社","土佐電","http://www.tosaden.co.jp/",0,0
9991419,"長崎大学",99914,42,"852-8137","長崎市若葉町",129.862282,32.785759,NA,NA,0,236,"長崎電軌３系統","長崎電軌３系統",NA,NA,0,99,"長崎電気軌道","長崎電気軌道株式会社","長崎電気軌道","http://www.naga-den.com/",0,0
9991407,"長崎駅前",99914,42,"850-0057","長崎市大黒町",129.871874,32.75238,NA,NA,0,236,"長崎電軌３系統","長崎電軌３系統",NA,NA,0,99,"長崎電気軌道","長崎電気軌道株式会社","長崎電気軌道","http://www.naga-den.com/",0,0
9950406,"長沼",99504,22,"420-0813","静岡市葵区長沼１",138.412884,34.989069,NA,NA,0,171,"静岡鉄道静岡清水線","静岡鉄道静岡清水線",NA,NA,0,99,"静岡鉄道","静岡鉄道株式会社","静鉄","http://www.shizutetsu.co.jp/",0,0
2600322,"長津田",26003,14,"226-0027","横浜市緑区長津田４丁目",139.493548,35.53196,NA,NA,0,16,"東急田園都市線","東急田園都市線",NA,NA,0,26,"東急電鉄","東京急行電鉄株式会社","東急","http://www.tokyu.co.jp/",2,0
2600801,"長津田",26008,14,"226-0027","横浜市緑区長津田４丁目",139.493548,35.53196,NA,NA,0,16,"東急こどもの国線","東急こどもの国線",NA,NA,0,26,"東急電鉄","東京急行電鉄株式会社","東急","http://www.tokyu.co.jp/",2,0
3000818,"長浦",30008,23,"478-0042","知多市長浦１-４００",136.847808,34.978432,NA,NA,0,20,"名鉄常滑線","名鉄常滑線",NA,NA,0,30,"名古屋鉄道","名古屋鉄道株式会社","名鉄","http://www.meitetsu.co.jp/",2,0
9962114,"長田",99621,27,"577-0013","東大阪市長田中２-２１-２",135.591919,34.678747,NA,NA,0,249,"大阪メトロ中央線","高速電気軌道第4号線","019a66","緑",0,99,"Osaka Metro","大阪市高速電気軌道株式会社","大阪メトロ","http://www.osakametro.co.jp",2,0
9963202,"長田",99632,28,"653-0882","神戸市長田区長田天神町二丁目10-1",135.149592,34.681605,NA,NA,0,204,"有馬線","神鉄有馬線","D53924","朱",0,99,"神戸電鉄","神戸電鉄株式会社","神鉄","http://www.shintetsu.co.jp/",0,0
9964607,"長田",99646,28,"653-0004","神戸市長田区四番町7丁目",135.151502,34.668503,NA,NA,0,211,"神戸市営地下鉄山手線","神戸市営地下鉄山手線","01AF98","緑",0,99,"神戸市交通局","神戸市交通局","神戸市交通局","http://www.city.kobe.lg.jp/",0,0
1123032,"長町",11230,4,"982-0011","仙台市太白区長町５丁目",140.885986,38.226797,NA,NA,0,2,"JR常磐線(いわき～仙台)","JR常磐線(いわき～仙台)",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
9921415,"長町",99214,4,"982-0011","仙台市太白区長町５丁目",140.884842,38.228244,NA,NA,0,115,"仙台市営地下鉄南北線","仙台市営地下鉄南北線",NA,NA,0,99,"仙台市交通局","仙台市交通局","仙台市交通局","http://www.kotsu.city.sendai.jp/",0,0
1191706,"長者原",11917,40,"811-2304","糟屋郡粕屋町仲原",130.477848,33.613567,NA,NA,0,6,"JR香椎線(香椎～宇美)","JR香椎線(香椎～宇美)",NA,NA,0,11,"JR九州","九州旅客鉄道株式会社","JR九州","http://www.jrkyushu.co.jp/",1,0
1170732,"長谷",11707,34,"728-0025","三次市粟屋町長谷",132.788146,34.803142,NA,NA,2,4,"JR三江線","JR三江線",NA,NA,2,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0
9932012,"長谷",99320,14,"248-0016","鎌倉市長谷２-１４-１０",139.536168,35.311265,NA,NA,0,133,"江ノ島電鉄線","江ノ島電鉄線",NA,NA,0,99,"江ノ島電鉄","江ノ島電鉄株式会社","江ノ電","http://www.enoden.co.jp/",0,0
1140701,"長野",11407,20,"380-0921","長野市大字栗田１０３８番地",138.189101,36.643307,NA,NA,0,2,"JR飯山線","JR飯山線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
9940323,"長野",99403,20,"380-0921","長野市大字栗田１０３８番地",138.189101,36.643307,NA,NA,0,156,"しなの鉄道線","しなの鉄道線",NA,NA,0,99,"しなの鉄道","しなの鉄道株式会社","しな鉄","http://www.shinanorailway.co.jp/",0,0
9940501,"長野",99405,20,"380-0921","長野市大字栗田１０３８番地",138.188396,36.644341,NA,NA,0,158,"長野電鉄長野線","長野電鉄長野線",NA,NA,0,99,"長野電鉄","長野電鉄株式会社","長電","http://www.nagaden-net.co.jp/",0,0
9942701,"長野",99427,20,"380-0921","長野市大字栗田１０３８番地",138.189101,36.643307,NA,NA,0,156,"北しなの線","北しなの線",NA,NA,0,99,"しなの鉄道","しなの鉄道株式会社","しな鉄","http://www.shinanorailway.co.jp/",0,0
1172212,"長門市",11722,35,"759-4101","長門市東深川",131.185722,34.375417,NA,NA,0,4,"JR美祢線","JR美祢線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0
9930116,"門前仲町",99301,13,"135-0048","江東区門前仲町１丁目",139.796209,35.671851,NA,NA,0,119,"都営大江戸線","都営大江戸線",NA,NA,0,99,"東京都交通局","東京都交通局","東京都交通局","http://www.kotsu.metro.tokyo.jp/",0,0
1170239,"門司",11702,40,"800-0039","北九州市門司区中町",130.933438,33.904309,NA,NA,2,4,"JR山陰本線(益田～下関)","JR山陰本線(益田～下関)",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0
1190204,"門司",11902,40,"800-0039","北九州市門司区中町",130.933438,33.904309,NA,NA,0,6,"JR鹿児島本線(下関・門司港～博多)","JR鹿児島本線(下関・門司港～博多)",NA,NA,0,11,"JR九州","九州旅客鉄道株式会社","JR九州","http://www.jrkyushu.co.jp/",1,0
1190603,"門司",11906,40,"800-0039","北九州市門司区中町",130.933438,33.904309,NA,NA,0,6,"JR日豊本線(門司港～佐伯)","JR日豊本線(門司港～佐伯)",NA,NA,0,11,"JR九州","九州旅客鉄道株式会社","JR九州","http://www.jrkyushu.co.jp/",1,0
1190601,"門司港",11906,40,"801-0841","北九州市門司区西海岸１丁目",130.961549,33.945138,NA,NA,0,6,"JR日豊本線(門司港～佐伯)","JR日豊本線(門司港～佐伯)",NA,NA,0,11,"JR九州","九州旅客鉄道株式会社","JR九州","http://www.jrkyushu.co.jp/",1,0
9962614,"門真市",99626,27,"571-0048","門真市新橋町３６-７",135.582533,34.737081,NA,NA,0,201,"大阪モノレール線","大阪モノレール線","5058C3","青",0,99,"大阪モノレール株式会社","大阪モノレール株式会社","大阪モノレール","http://www.osaka-monorail.co.jp/",0,0
9952508,"関",99525,21,"501-3881","関市元重町",136.912758,35.490027,NA,NA,0,184,"長良川鉄道越美南線","長良川鉄道越美南線",NA,NA,0,99,"長良川鉄道","長良川鉄道株式会社","長鉄","http://www.nagatetsu.co.jp/",0,0
9931616,"関内",99316,14,"231-0017","横浜市中区港町１丁目",139.635855,35.445821,NA,NA,0,130,"ブルーライン","横浜市高速鉄道1号線・3号線",NA,NA,0,99,"横浜市交通局","横浜市交通局","横浜市交通局","http://www.city.yokohama.lg.jp/koutuu/",0,0
3100518,"関屋",31005,29,"639-0255","香芝市関屋１５７８-３",135.667778,34.553688,NA,NA,0,21,"近鉄大阪線","近鉄大阪線",NA,NA,0,31,"近畿日本鉄道","近畿日本鉄道株式会社","近鉄","http://www.kintetsu.co.jp/",2,0
3200203,"関西空港",32002,27,"549-0011","泉南郡田尻町泉州空港中１番",135.243601,34.435848,NA,NA,0,22,"南海空港線","南海空港線",NA,NA,0,32,"南海電鉄","南海電気鉄道株式会社","南海","http://www.nankai.co.jp/",2,0
1131305,"阿佐ケ谷",11313,13,"166-0004","東京都杉並区阿佐谷南三丁目36-2",139.635868,35.704818,NA,NA,0,2,"JR中央・総武線","JR中央・総武緩行線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0
9962802,"阿倍野",99628,27,"545-0052","大阪市阿倍野区阿倍野筋２-４",135.51198,34.642374,NA,NA,0,202,"阪堺電軌上町線","阪堺電軌上町線","083388","紺",0,99,"阪堺電気軌道","阪堺電気軌道株式会社","阪堺","http://www.hankai.co.jp/",0,0
