"S_ID","S_Name","L_ID","Pref","Zipcode","Address","Longitude","Latitude","Open","Close","S_Status","C_ID","L_Name","L_Name2","L_Color","L_Color2","L_Status","R_ID","C_Name","C_Name2","C_Name3","C_URL","C_Type","C_Status","NN_Index","Name","Company","Line","TypeS","TypeC","P2011","P2012","P2013","P2014","P2015","P2016","P2017","Diff"
1121812,"左沢",11218,6,"991-0801","西村山郡大江町左沢",140.208132,38.382223,NA,NA,0,2,"フルーツライン左沢線","JR左沢線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4274,"左沢","東日本旅客鉄道","左沢線",11,2,784,774,756,714,660,622,618,"O"
9991141,"左石",99911,42,"857-0136","佐世保市田原町",129.721992,33.208896,NA,NA,0,234,"西九州線(伊万里～佐世保)","松浦鉄道西九州線(伊万里～佐世保)",NA,NA,0,99,"松浦鉄道","松浦鉄道株式会社","松浦鉄道","http://www.matutetu.com/",0,0,4275,"左石","松浦鉄道","西九州線",12,5,1007,1017,1034,1008,1020,966,970,"O"
9920922,"左通",99209,5,"014-0601","仙北市西木町上桧木内",140.586118,39.801867,NA,NA,0,110,"秋田内陸線","秋田内陸縦貫鉄道秋田内陸線",NA,NA,0,99,"秋田内陸縦貫鉄道","秋田内陸縦貫鉄道株式会社","秋田内陸縦貫鉄道","http://www.akita-nairiku.com/",0,0,4276,"左通","秋田内陸縦貫鉄道","秋田内陸線",12,5,0,0,0,0,0,2,2,"O"
9932203,"巴川",99322,8,"311-1527","茨城県鉾田市借宿368番地3",140.472866,36.158009,NA,NA,2,135,"鹿島鉄道線","鹿島鉄道線",NA,NA,2,99,"鹿島鉄道","鹿島鉄道株式会社","鹿鉄","http://www.kantetsu.co.jp/katetsu/",0,2,5114,"新鉾田","鹿島臨海鉄道","大洗鹿島線",12,5,1458,1717,1701,1565,1485,1523,1455,""
1140821,"巻",11408,15,"953-0041","新潟市西蒲区巻甲",138.889506,37.756753,NA,NA,0,2,"JR越後線","JR越後線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4277,"巻","東日本旅客鉄道","越後線",11,2,4798,4920,4810,4946,4650,4942,4854,"O"
1163708,"巻向",11637,29,"633-0083","桜井市辻",135.840943,34.545147,NA,NA,0,4,"万葉まほろば線","桜井線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,4278,"巻向","西日本旅客鉄道","桜井線",11,2,780,762,749,708,736,742,748,"O"
3000905,"巽ヶ丘",30009,23,"478-0012","愛知県知多市巽ヶ丘3丁目134",136.915556,34.962265,NA,NA,0,20,"名鉄河和線","名鉄河和線",NA,NA,0,30,"名古屋鉄道","名古屋鉄道株式会社","名鉄","http://www.meitetsu.co.jp/",2,0,4279,"巽ヶ丘","名古屋鉄道","河和線",12,4,0,0,0,0,0,0,0,"O"
2600318,"市が尾",26003,14,"225-0024","横浜市青葉区市ケ尾町１１５６-１",139.541496,35.551483,NA,NA,0,16,"東急田園都市線","東急田園都市線",NA,NA,0,26,"東急電鉄","東京急行電鉄株式会社","東急","http://www.tokyu.co.jp/",2,0,4280,"市が尾","東京急行電鉄","田園都市線",12,4,42763,42978,43548,43001,44121,44121,44170,"O"
9930404,"市ヶ谷",99304,13,"162-0843","東京都新宿区市谷田町一丁目1",139.737639,35.691556,NA,NA,0,119,"都営新宿線","都営新宿線",NA,NA,0,99,"東京都交通局","東京都交通局","東京都交通局","http://www.kotsu.metro.tokyo.jp/",0,0,4283,"市ヶ谷","東京都","10号線新宿線",12,3,83434,84529,87151,89429,92994,95112,98926,"O"
1131315,"市ケ谷",11313,13,"162-0843","東京都新宿区市谷田町一丁目1",139.735583,35.691,NA,NA,0,2,"JR中央・総武線","JR中央・総武緩行線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4284,"市ヶ谷","東日本旅客鉄道","中央線",11,2,116772,113912,115110,117800,118160,121346,122368,""
2800614,"市ケ谷",28006,13,"162-0843","東京都新宿区市谷田町一丁目1",139.73625,35.691389,1974-10-30,NA,0,18,"東京メトロ有楽町線","東京メトロ有楽町線","C5C544","ゴールド",0,28,"東京メトロ","東京地下鉄株式会社","東京メトロ","http://www.tokyometro.jp/",2,0,4284,"市ヶ谷","東日本旅客鉄道","中央線",11,2,116772,113912,115110,117800,118160,121346,122368,""
2800911,"市ケ谷",28009,13,"102-0076","東京都千代田区五番町2-1",139.736389,35.692972,NA,NA,0,18,"東京メトロ南北線","東京メトロ南北線","00ADA9","エメラルド",0,28,"東京メトロ","東京地下鉄株式会社","東京メトロ","http://www.tokyometro.jp/",2,0,4281,"市ヶ谷","東京地下鉄","7号線南北線",12,4,124197,126846,131363,134206,139608,142685,146603,""
1192316,"市ノ川",11923,43,"869-2237","阿蘇市的石",131.00759,32.928048,NA,NA,0,6,"阿蘇高原線","JR豊肥本線",NA,NA,0,11,"JR九州","九州旅客鉄道株式会社","JR九州","http://www.jrkyushu.co.jp/",1,0,4285,"市ノ川","九州旅客鉄道","豊肥線",11,2,0,0,0,0,0,0,0,"O"
1140222,"市ノ瀬",11402,19,"409-2938","南巨摩郡身延町市之瀬",138.482154,35.462345,NA,NA,0,3,"JR身延線","JR身延線",NA,NA,0,11,"JR東海","東海旅客鉄道株式会社","JR東海","http://jr-central.co.jp/",1,0,4286,"市ノ瀬","東海旅客鉄道","身延線",11,2,0,0,0,0,0,0,0,"O"
9960707,"市原",99607,26,"601-1123","京都市左京区静市市原町１２４",135.763118,35.088236,NA,NA,0,193,"叡山電鉄鞍馬線","叡山電鉄鞍馬線",NA,NA,0,99,"叡山電鉄","叡山電鉄株式会社","叡電","http://eizandensha.co.jp/",0,0,4287,"市原","叡山電鉄","鞍馬線",12,4,738,738,738,738,766,766,1003,"O"
1180702,"市坪",11807,38,"790-0947","松山市市坪南２丁目",132.749283,33.809113,NA,NA,0,5,"JR予讃・内子線","JR予讃・内子線",NA,NA,0,11,"JR四国","四国旅客鉄道株式会社","JR四国","http://www.jr-shikoku.co.jp/",1,0,4288,"市坪","四国旅客鉄道","予讃線",11,2,514,600,582,580,582,532,560,"O"
1133506,"市城",11335,10,"377-0421","吾妻郡中之条町大字市城",138.882247,36.570685,NA,NA,0,2,"JR吾妻線","JR吾妻線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4289,"市城","東日本旅客鉄道","吾妻線",11,2,0,0,0,0,0,0,0,"O"
1163205,"市場",11632,28,"675-1345","兵庫県小野市黍田町字屋田635[1]",134.932494,34.819352,NA,NA,0,4,"JR加古川線","JR加古川線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,4291,"市場","西日本旅客鉄道","加古川線",11,2,357,350,367,382,412,428,426,"O"
9963517,"市場",99635,28,"675-1326","兵庫県小野市池尻町字尾ノカチ410-2",134.94436,34.824408,NA,NA,0,204,"粟生線","神鉄粟生線","D53924","朱",0,99,"神戸電鉄","神戸電鉄株式会社","神鉄","http://www.shintetsu.co.jp/",0,0,4290,"市場","神戸電鉄","粟生線",12,4,207,202,230,216,208,190,213,"O"
9990206,"市場",99902,40,"822-1103","田川郡福智町市場",130.759328,33.708074,NA,NA,0,230,"伊田線","平成筑豊鉄道伊田線",NA,NA,0,99,"平成筑豊鉄道","平成筑豊鉄道株式会社","平成筑豊鉄道","http://www.heichiku.net/",0,0,4292,"市場","平成筑豊鉄道","伊田線",12,5,67,69,77,66,66,76,48,"O"
9931114,"市場前",99311,13,"135-0061","江東区豊洲６丁目",139.78564,35.645684,NA,NA,0,125,"ゆりかもめ","ゆりかもめ東京臨海新交通臨海線",NA,NA,0,99,"ゆりかもめ","株式会社ゆりかもめ","ゆりかもめ","http://www.yurikamome.co.jp/",0,0,4293,"市場前","ゆりかもめ","東京臨海新交通臨海線",24,5,49,113,156,583,2708,2708,2583,"O"
9933014,"市塙",99330,9,"321-3423","芳賀郡市貝町市塙",140.110218,36.538029,NA,NA,0,143,"真岡鐵道真岡線","真岡鐵道真岡線",NA,NA,0,99,"真岡鐵道","真岡鐵道株式会社","真岡鐵道","http://www.moka-railway.co.jp/",0,0,4294,"市塙","真岡鐵道","真岡線",12,5,291,205,199,190,184,171,160,"O"
9931709,"市大医学部",99317,14,"236-0004","横浜市金沢区福浦３",139.650156,35.343966,NA,NA,0,131,"金沢シーサイドライン","横浜新都市交通金沢シーサイドライン",NA,NA,0,99,"株式会社横浜シーサイドライン","株式会社横浜シーサイドライン","横浜シーサイドライン","http://www.seasideline.co.jp/",0,0,4295,"市大医学部","横浜シーサイドライン","金沢シーサイドライン",24,5,9242,9684,10196,10344,10694,10766,11102,"O"
3100705,"市尾",31007,29,"635-0123","高市郡高取町市尾７８４",135.776488,34.441731,NA,NA,0,21,"近鉄吉野線","近鉄吉野線",NA,NA,0,31,"近畿日本鉄道","近畿日本鉄道株式会社","近鉄","http://www.kintetsu.co.jp/",2,0,4296,"市尾","近畿日本鉄道","吉野線",12,4,556,535,535,535,456,456,456,"O"
1171405,"市岡",11714,33,"719-3702","新見市哲西町上神代",133.346948,34.966232,NA,NA,0,4,"JR芸備線","JR芸備線",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,4297,"市岡","西日本旅客鉄道","芸備線",11,2,24,23,26,20,26,22,25,"O"
1163008,"市島",11630,28,"669-4324","丹波市市島町市島",135.130198,35.207868,NA,NA,0,4,"福知山線(篠山口～福知山)","福知山線(篠山口～福知山)",NA,NA,0,11,"JR西日本","西日本旅客鉄道株式会社","JR西日本","http://www.westjr.co.jp/",1,0,4298,"市島","西日本旅客鉄道","福知山線",11,2,496,534,549,494,486,478,475,"O"
1131327,"市川",11313,12,"272-0034","市川市市川１丁目",139.908142,35.728903,NA,NA,0,2,"JR中央・総武線","JR中央・総武緩行線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4299,"市川","東日本旅客鉄道","総武線",11,2,117958,116662,117044,118306,117154,119818,121116,"O"
1131406,"市川",11314,12,"272-0034","市川市市川１丁目",139.908142,35.728903,NA,NA,0,2,"JR総武本線","JR総武本線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4299,"市川","東日本旅客鉄道","総武線",11,2,117958,116662,117044,118306,117154,119818,121116,"O"
1132609,"市川塩浜",11326,12,"272-0127","市川市塩浜２丁目",139.923684,35.666554,NA,NA,0,2,"JR京葉線","JR京葉線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4300,"市川塩浜","東日本旅客鉄道","京葉線",11,2,12094,12754,13138,14158,14370,15092,15512,"O"
1130522,"市川大野",11305,12,"272-0805","市川市大野町３丁目",139.951227,35.755432,NA,NA,0,2,"JR武蔵野線","JR武蔵野線",NA,NA,0,11,"JR東日本","東日本旅客鉄道株式会社","JR東日本","http://www.jreast.co.jp/",1,0,4301,"市川大野","東日本旅客鉄道","武蔵野線",11,2,22476,22194,22506,23164,23196,23500,23536,"O"
1140227,"市川大門",11402,19,"409-3603","西八代郡市川三郷町黒沢",138.493276,35.560451,NA,NA,0,3,"JR身延線","JR身延線",NA,NA,0,11,"JR東海","東海旅客鉄道株式会社","JR東海","http://jr-central.co.jp/",1,0,4302,"市川大門","東海旅客鉄道","身延線",11,2,0,0,0,0,0,0,0,"O"
